opstillingskreds_dagi,Opstillingskreds,Partibogstav,Stemmetal,procent_22
403582,Skive,V,3952,14.0
403583,Mariagerfjord,ALT,385,1.5
403583,Mariagerfjord,DD,6089,23.4
403583,Mariagerfjord,DF,474,1.8
403583,Mariagerfjord,EL,594,2.3
403583,Mariagerfjord,FG,20,0.1
403583,Mariagerfjord,K,1317,5.1
403583,Mariagerfjord,LA,1505,5.8
403583,Mariagerfjord,M,1368,5.3
403583,Mariagerfjord,NB,919,3.5
403583,Mariagerfjord,R,401,1.5
403583,Mariagerfjord,S,8626,33.1
403583,Mariagerfjord,SF,1272,4.9
403583,Mariagerfjord,UP,27,0.1
403583,Mariagerfjord,V,3047,11.7
403584,Hjørring,ALT,468,1.2
403584,Hjørring,DD,6672,16.8
403584,Hjørring,DF,815,2.1
403584,Hjørring,EL,1018,2.6
403584,Hjørring,FG,49,0.1
403584,Hjørring,K,2116,5.3
403584,Hjørring,LA,2334,5.9
403584,Hjørring,M,2530,6.4
403584,Hjørring,NB,1667,4.2
403584,Hjørring,R,615,1.5
403584,Hjørring,S,14049,35.4
403584,Hjørring,SF,1915,4.8
403584,Hjørring,UP,50,0.1
403584,Hjørring,V,5416,13.6
403585,Skanderborg,ALT,2098,3.6
403585,Skanderborg,DD,4218,7.3
403585,Skanderborg,DF,1000,1.7
403585,Skanderborg,EL,2522,4.4
403585,Skanderborg,FG,139,0.2
403585,Skanderborg,K,3156,5.5
403585,Skanderborg,LA,5225,9.0
403585,Skanderborg,M,5450,9.4
403585,Skanderborg,NB,2072,3.6
403585,Skanderborg,R,2343,4.0
403585,Skanderborg,S,15925,27.5
403585,Skanderborg,SF,5548,9.6
403585,Skanderborg,UP,61,0.1
403585,Skanderborg,V,8138,14.1
403586,Randers Nord,ALT,436,1.5
403586,Randers Nord,DD,3115,10.9
403586,Randers Nord,DF,971,3.4
403586,Randers Nord,EL,892,3.1
403586,Randers Nord,FG,122,0.4
403586,Randers Nord,K,959,3.4
403586,Randers Nord,LA,2317,8.1
403586,Randers Nord,M,1801,6.3
403586,Randers Nord,NB,1427,5.0
403586,Randers Nord,R,548,1.9
403586,Randers Nord,S,10395,36.5
403586,Randers Nord,SF,1729,6.1
403586,Randers Nord,UP,25,0.1
403586,Randers Nord,V,3755,13.2
403587,Aarhus Syd,ALT,2652,5.2
403587,Aarhus Syd,DD,1903,3.7
403587,Aarhus Syd,DF,735,1.4
403587,Aarhus Syd,EL,3723,7.3
403587,Aarhus Syd,FG,261,0.5
403587,Aarhus Syd,K,2573,5.1
403587,Aarhus Syd,LA,5014,9.9
403587,Aarhus Syd,M,4875,9.6
403587,Aarhus Syd,NB,1096,2.2
403587,Aarhus Syd,R,3181,6.3
403587,Aarhus Syd,S,12296,24.2
403587,Aarhus Syd,SF,5799,11.4
403587,Aarhus Syd,UP,37,0.1
403587,Aarhus Syd,V,6721,13.2
403588,Struer,ALT,264,1.0
403588,Struer,DD,3957,15.5
403588,Struer,DF,587,2.3
403588,Struer,EL,414,1.6
403588,Struer,FG,43,0.2
403588,Struer,K,1456,5.7
403588,Struer,LA,1681,6.6
403588,Struer,M,1292,5.1
403588,Struer,NB,820,3.2
403588,Struer,R,447,1.8
403588,Struer,S,7085,27.8
403588,Struer,SF,1533,6.0
403588,Struer,UP,22,0.1
403588,Struer,V,5862,23.0
403589,Herning Nord,ALT,290,1.0
403589,Herning Nord,DD,4485,15.8
403589,Herning Nord,DF,550,1.9
403589,Herning Nord,EL,435,1.5
403589,Herning Nord,FG,103,0.4
403589,Herning Nord,K,1890,6.7
403589,Herning Nord,LA,2498,8.8
403589,Herning Nord,M,2132,7.5
403589,Herning Nord,NB,854,3.0
403589,Herning Nord,R,452,1.6
403589,Herning Nord,S,6384,22.5
403589,Herning Nord,SF,1506,5.3
403589,Herning Nord,UP,30,0.1
403589,Herning Nord,V,6709,23.7
403590,Herning Syd,ALT,320,1.3
403590,Herning Syd,DD,3132,12.7
403590,Herning Syd,DF,548,2.2
403590,Herning Syd,EL,577,2.3
403590,Herning Syd,FG,112,0.5
403590,Herning Syd,K,1700,6.9
403590,Herning Syd,LA,2674,10.8
403590,Herning Syd,M,2100,8.5
403590,Herning Syd,NB,754,3.1
403590,Herning Syd,R,527,2.1
403590,Herning Syd,S,5842,23.7
403590,Herning Syd,SF,1353,5.5
403590,Herning Syd,UP,29,0.1
403590,Herning Syd,V,5014,20.3
403591,Frederikshavn,ALT,346,0.9
403591,Frederikshavn,DD,6468,17.2
403591,Frederikshavn,DF,1012,2.7
403591,Frederikshavn,EL,658,1.8
403591,Frederikshavn,FG,33,0.1
403591,Frederikshavn,K,1429,3.8
403591,Frederikshavn,LA,2159,5.8
403591,Frederikshavn,M,2289,6.1
403591,Frederikshavn,NB,1756,4.7
403591,Frederikshavn,R,359,1.0
403591,Frederikshavn,S,14726,39.2
403591,Frederikshavn,SF,1533,4.1
403591,Frederikshavn,UP,30,0.1
403591,Frederikshavn,V,4748,12.6
403592,Brønderslev,ALT,581,1.2
403592,Brønderslev,DD,8410,18.0
403592,Brønderslev,DF,1054,2.3
403592,Brønderslev,EL,786,1.7
403592,Brønderslev,FG,41,0.1
403592,Brønderslev,K,1741,3.7
403592,Brønderslev,LA,2843,6.1
403592,Brønderslev,M,2689,5.8
403592,Brønderslev,NB,1985,4.3
403592,Brønderslev,R,630,1.3
403592,Brønderslev,S,16803,36.0
403592,Brønderslev,SF,2094,4.5
403592,Brønderslev,UP,40,0.1
403592,Brønderslev,V,6994,15.0
403593,Thisted,ALT,698,1.8
403593,Thisted,DD,7586,19.3
403593,Thisted,DF,800,2.0
403593,Thisted,EL,899,2.3
403593,Thisted,FG,44,0.1
403593,Thisted,K,1574,4.0
403593,Thisted,LA,2188,5.6
403593,Thisted,M,2111,5.4
403593,Thisted,NB,1275,3.3
403593,Thisted,R,458,1.2
403593,Thisted,S,13532,34.5
403593,Thisted,SF,1547,3.9
403593,Thisted,UP,19,0.0
403593,Thisted,V,6479,16.5
403594,Himmerland,ALT,563,1.4
403594,Himmerland,DD,7872,19.1
403594,Himmerland,DF,760,1.8
403594,Himmerland,EL,791,1.9
403594,Himmerland,FG,51,0.1
403594,Himmerland,K,2207,5.4
403594,Himmerland,LA,2424,5.9
403594,Himmerland,M,2285,5.6
403594,Himmerland,NB,1708,4.2
403594,Himmerland,R,821,2.0
403594,Himmerland,S,11968,29.1
403594,Himmerland,SF,2852,6.9
403594,Himmerland,UP,33,0.1
403594,Himmerland,V,6817,16.6
403595,Aalborg Vest,ALT,1080,2.5
403595,Aalborg Vest,DD,3975,9.3
403595,Aalborg Vest,DF,596,1.4
403595,Aalborg Vest,EL,1769,4.1
403595,Aalborg Vest,FG,145,0.3
403595,Aalborg Vest,K,2169,5.1
403595,Aalborg Vest,LA,4074,9.5
403595,Aalborg Vest,M,3387,7.9
403595,Aalborg Vest,NB,1044,2.4
403595,Aalborg Vest,R,1728,4.0
403595,Aalborg Vest,S,13374,31.3
403595,Aalborg Vest,SF,3074,7.2
403595,Aalborg Vest,UP,43,0.1
403595,Aalborg Vest,V,6309,14.8
403596,Aalborg Øst,ALT,1611,3.1
403596,Aalborg Øst,DD,4694,9.0
403596,Aalborg Øst,DF,789,1.5
403596,Aalborg Øst,EL,2508,4.8
403596,Aalborg Øst,FG,395,0.8
403596,Aalborg Øst,K,2109,4.0
403596,Aalborg Øst,LA,4718,9.0
403596,Aalborg Øst,M,3712,7.1
403596,Aalborg Øst,NB,1250,2.4
403596,Aalborg Øst,R,2300,4.4
403596,Aalborg Øst,S,18201,34.8
403596,Aalborg Øst,SF,3881,7.4
403596,Aalborg Øst,UP,62,0.1
403596,Aalborg Øst,V,6139,11.7
403597,Viborg Vest,ALT,638,2.0
403597,Viborg Vest,DD,3426,11.0
403597,Viborg Vest,DF,546,1.8
403597,Viborg Vest,EL,907,2.9
403597,Viborg Vest,FG,44,0.1
403597,Viborg Vest,K,4811,15.4
403597,Viborg Vest,LA,2061,6.6
403597,Viborg Vest,M,1829,5.9
403597,Viborg Vest,NB,926,3.0
403597,Viborg Vest,R,584,1.9
403597,Viborg Vest,S,8488,27.2
403597,Viborg Vest,SF,2633,8.4
403597,Viborg Vest,UP,27,0.1
403597,Viborg Vest,V,4249,13.6
403598,Randers Syd,ALT,601,1.9
403598,Randers Syd,DD,2881,9.2
403598,Randers Syd,DF,850,2.7
403598,Randers Syd,EL,1060,3.4
403598,Randers Syd,FG,53,0.2
403598,Randers Syd,K,1252,4.0
403598,Randers Syd,LA,2972,9.5
403598,Randers Syd,M,2189,7.0
403598,Randers Syd,NB,1500,4.8
403598,Randers Syd,R,682,2.2
403598,Randers Syd,S,10224,32.8
403598,Randers Syd,SF,2126,6.8
403598,Randers Syd,UP,29,0.1
403598,Randers Syd,V,4757,15.3
403599,Aalborg Nord,ALT,1112,2.6
403599,Aalborg Nord,DD,4390,10.3
403599,Aalborg Nord,DF,817,1.9
403599,Aalborg Nord,EL,1935,4.5
403599,Aalborg Nord,FG,203,0.5
403599,Aalborg Nord,K,1628,3.8
403599,Aalborg Nord,LA,3928,9.2
403599,Aalborg Nord,M,2924,6.8
403599,Aalborg Nord,NB,1197,2.8
403599,Aalborg Nord,R,1593,3.7
403599,Aalborg Nord,S,14523,33.9
403599,Aalborg Nord,SF,2776,6.5
403599,Aalborg Nord,UP,50,0.1
